City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
498,Tabuk,PH,17.4189,121.4443,76.01,89,100,2.24,overcast clouds
499,Road Town,VG,18.4167,-64.6167,82.49,74,20,8.05,few clouds
500,Orodara,BF,10.9492,-4.9342,78.28,64,94,7.83,light rain
501,Sete,FR,43.4018,3.6966,71.46,60,48,16.8,scattered clouds
502,Uitenhage,ZA,-33.7576,25.3971,55.06,47,2,5.88,clear sky
503,Gamboma,CG,-1.8764,15.8644,73.49,84,57,3.27,broken clouds
504,Kidal,ML,18.4411,1.4078,95.04,23,54,4.27,broken clouds
505,Montevideo,UY,-34.8335,-56.1674,47.91,93,100,2.3,light rain
506,Petawawa,CA,45.9001,-77.3328,62.78,79,94,3.0,overcast clouds
507,Rio Grande,BR,-32.035,-52.0986,55.51,93,100,3.53,moderate rain
508,Chegutu,ZW,-18.1302,30.1407,54.55,71,66,11.99,broken clouds
509,Araguacu,BR,-12.9306,-49.8264,75.99,31,0,4.05,clear sky
510,Bajil,YE,15.0584,43.2851,88.61,51,90,1.45,overcast clouds
511,Arroyo,ES,41.6096,-4.7969,57.07,70,0,10.36,clear sky
512,Qasigiannguit,GL,68.8193,-51.1922,44.85,71,42,2.26,scattered clouds
513,Moa,CU,20.6569,-74.9403,80.55,80,100,2.93,overcast clouds
514,Araouane,ML,18.9048,-3.5265,100.09,17,14,4.03,few clouds
515,Saint-Paul,RE,-21.0096,55.2707,69.37,70,4,12.84,clear sky
516,Puerto Madryn,AR,-42.7692,-65.0385,49.37,46,100,15.77,overcast clouds
517,Luau,AO,-10.7073,22.2247,58.06,51,14,4.79,few clouds
518,Naters,CH,46.3254,7.9891,64.94,94,96,1.01,overcast clouds
519,Urengoy,RU,65.9667,78.3667,53.85,82,100,17.96,light rain
520,Pestovo,RU,58.5938,35.8024,59.83,90,2,4.92,clear sky
521,Muravlenko,RU,63.7898,74.523,48.45,92,100,17.58,moderate rain
522,Eastbourne,GB,50.7687,0.2845,59.72,81,94,3.0,overcast clouds
523,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,74.1,92,44,0.54,scattered clouds
524,Takoradi,GH,4.8845,-1.7554,76.3,89,76,5.95,broken clouds
525,Masasi,TZ,-10.7167,38.8,60.33,75,28,3.83,scattered clouds
526,Kalininsk,RU,51.5,44.4758,64.35,78,40,6.85,scattered clouds
527,Point Fortin,TT,10.1833,-61.6833,81.86,82,100,13.51,overcast clouds
528,Alta Floresta,BR,-9.8756,-56.0861,73.33,39,0,1.12,clear sky
529,Aksay,RU,47.26,39.87,75.25,56,99,11.99,overcast clouds
530,Tahoua,NE,14.8888,5.2692,91.06,34,78,11.27,broken clouds
531,Ust-Tsilma,RU,65.441,52.1498,38.91,74,100,11.43,overcast clouds
532,Agadez,NE,19.75,10.25,93.34,10,18,11.81,few clouds
533,Taverny,FR,49.0254,2.2169,62.65,80,0,4.61,clear sky
534,Arkhangelskoye,RU,55.8549,35.3287,66.4,71,22,4.88,few clouds
535,Saint-Pierre,RE,-21.3393,55.4781,68.92,77,100,5.75,overcast clouds
536,Taguatinga,BR,-12.3857,-46.5711,73.83,33,0,6.69,clear sky
537,Grabouw,ZA,-34.1515,19.0151,51.73,39,0,5.14,clear sky
538,Urucara,BR,-2.5364,-57.76,79.38,72,93,2.98,overcast clouds
539,Inhambane,MZ,-23.865,35.3833,66.96,68,84,13.69,broken clouds
540,Crotone,IT,39.0851,17.1178,87.19,56,1,2.35,clear sky
541,Gravdal,NO,68.1214,13.5031,56.71,88,87,9.24,overcast clouds
542,Jatibonico,CU,21.9419,-79.17,78.67,85,99,5.77,overcast clouds
543,Ginir,ET,7.1333,40.7,54.97,78,100,12.24,overcast clouds
544,Kapuskasing,CA,49.4169,-82.4331,64.63,43,82,9.8,broken clouds
545,Itacare,BR,-14.2775,-38.9967,71.65,72,36,13.87,scattered clouds
546,Bodden Town,KY,19.2833,-81.25,88.0,63,20,3.0,few clouds
547,La Palma,US,33.8464,-118.0467,106.95,41,20,10.36,few clouds
548,Salamiyah,SY,35.0113,37.0532,69.69,59,0,4.59,clear sky
549,Verkh-Chebula,RU,56.0308,87.6218,54.64,93,98,16.24,overcast clouds
550,Pimentel,PE,-6.8367,-79.9342,64.69,77,20,19.57,few clouds
551,Camacari,BR,-12.6975,-38.3242,78.57,82,78,12.39,broken clouds
552,Tanout,NE,14.9709,8.8879,91.92,22,20,5.57,few clouds
553,Purpe,RU,64.4803,76.6897,57.31,90,100,7.67,light rain
554,Itigi,TZ,-5.7,34.4833,59.67,65,54,10.89,broken clouds
555,Inverness,GB,57.4791,-4.224,51.71,82,71,2.3,broken clouds
556,Volot,RU,57.9278,30.7025,68.27,66,40,3.78,scattered clouds
557,Poli,TZ,-3.3333,36.8,52.39,82,58,3.65,broken clouds
558,Sokoto,NG,13.0609,5.239,83.95,54,93,15.35,overcast clouds
559,Muros,ES,42.7762,-9.0603,55.09,83,4,7.61,clear sky
560,Bafoulabe,ML,13.8065,-10.8321,87.24,48,61,6.69,broken clouds
561,Pangnirtung,CA,66.1451,-65.7125,39.67,97,100,3.69,overcast clouds
562,Gobabis,NA,-22.45,18.9667,53.08,57,99,16.42,overcast clouds
563,Los Andes,CL,-32.8337,-70.5983,51.01,95,97,4.05,overcast clouds
564,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,72,75,9.22,broken clouds
565,Coxim,BR,-18.5067,-54.76,72.81,41,5,1.36,clear sky
566,Placido De Castro,BR,-10.3353,-67.1856,75.34,61,0,2.33,clear sky
567,Correntina,BR,-13.3433,-44.6367,66.85,44,1,5.46,clear sky
568,Navahrudak,BY,53.6,25.8333,68.23,77,86,3.87,overcast clouds
569,Raudeberg,NO,61.9875,5.1352,57.87,90,100,7.85,light rain
570,Northam,GB,51.0333,-4.2167,53.26,85,78,12.97,broken clouds
571,New Philadelphia,US,40.4898,-81.4457,76.86,35,20,10.36,few clouds
572,Kanye,BW,-24.9667,25.3327,47.17,69,15,7.58,few clouds
573,Velingrad,BG,42.0272,23.9957,58.89,83,0,4.99,clear sky
574,Harper,LR,4.375,-7.7169,77.74,83,93,8.01,overcast clouds
575,Bongandanga,CD,1.5,21.05,70.02,97,47,2.66,scattered clouds
576,Bahia Honda,CU,22.9036,-83.1592,82.38,73,80,3.96,broken clouds
577,Namibe,AO,-15.1961,12.1522,67.03,62,1,1.74,clear sky
578,Idappadi,IN,11.5833,77.85,78.91,69,100,3.8,overcast clouds
579,Trincomalee,LK,8.5711,81.2335,80.42,80,93,18.95,overcast clouds
580,Severnoye,RU,56.3491,78.3619,50.88,84,99,13.94,overcast clouds
581,Rypefjord,NO,70.6333,23.6667,70.27,64,0,4.61,clear sky
582,Barra Do Corda,BR,-5.5,-45.25,76.35,63,7,2.62,clear sky
583,Aketi,CD,2.7388,23.7833,70.05,98,96,2.21,overcast clouds
584,Maine-Soroa,NE,13.2114,12.0241,88.83,40,87,10.74,overcast clouds
585,Baherden,TM,38.4362,57.4316,89.4,36,1,9.06,clear sky
