City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Luderitz,NA,2022-06-21 03:56:02,-26.6481,15.1594,56.68,62,96,9.01
136,Nuuk,GL,2022-06-21 03:56:03,64.1835,-51.7216,31.87,91,100,21.0
137,Oranjemund,NA,2022-06-21 03:56:03,-28.55,16.4333,53.42,75,54,3.0
138,Nerl,RU,2022-06-21 03:56:04,56.6628,40.3893,56.43,76,99,4.54
139,Lukovetskiy,RU,2022-06-21 03:57:04,64.2956,41.9211,46.06,78,86,4.83
140,Husavik,IS,2022-06-21 03:57:05,66.0449,-17.3389,46.18,71,21,6.06
141,East London,ZA,2022-06-21 03:56:56,-33.0153,27.9116,61.74,82,0,6.91
142,Atasu,KZ,2022-06-21 03:57:06,48.6814,71.6433,75.61,51,17,12.73
143,Richards Bay,ZA,2022-06-21 03:57:06,-28.783,32.0377,64.92,71,100,2.24
144,Trinidad,BO,2022-06-21 03:57:07,-14.8333,-64.9,72.32,80,40,4.18
145,Usinsk,RU,2022-06-21 03:57:07,65.9939,57.5281,63.21,61,53,19.98
146,Terrasini,IT,2022-06-21 03:57:08,38.146,13.0844,76.6,60,0,2.57
147,Salalah,OM,2022-06-21 03:57:08,17.0151,54.0924,81.88,82,100,9.64
148,Bavly,RU,2022-06-21 03:57:09,54.393,53.2602,55.92,78,7,16.67
149,Giyon,ET,2022-06-21 03:57:09,8.5333,37.9833,56.64,93,96,1.81
150,Thompson,CA,2022-06-21 03:57:10,55.7435,-97.8558,57.36,82,75,6.91
151,Otukpo,NG,2022-06-21 03:57:10,7.1913,8.1329,70.18,98,75,5.91
152,Tenenkou,ML,2022-06-21 03:57:11,14.4572,-4.9169,84.85,45,74,8.68
153,Cayenne,GF,2022-06-21 03:57:11,4.9333,-52.3333,77.09,1,0,0.0
154,Adrar,MR,2022-06-21 03:57:12,20.5022,-10.0711,77.43,67,99,6.53
155,Bad Frankenhausen,DE,2022-06-21 03:57:12,51.35,11.1,48.94,83,0,4.36
156,Thomaston,US,2022-06-21 03:57:13,32.8882,-84.3266,75.09,61,0,0.0
157,Calvinia,ZA,2022-06-21 03:57:13,-31.4707,19.776,51.58,73,100,7.56
158,Laguna,US,2022-06-21 03:57:14,38.421,-121.4238,86.18,23,0,5.75
159,Adre,TD,2022-06-21 03:57:15,13.4667,22.2,79.63,49,99,6.06
160,Coruripe,BR,2022-06-21 03:57:15,-10.1256,-36.1756,73.54,88,29,8.16
161,Olinda,BR,2022-06-21 03:57:16,-8.0089,-34.8553,80.33,74,40,9.22
162,Sainte-Rose,GP,2022-06-21 03:57:16,16.3324,-61.6979,75.24,88,0,1.14
163,Qarqin,AF,2022-06-21 03:57:17,37.4185,66.0436,83.71,21,15,10.16
164,Canto Do Buriti,BR,2022-06-21 03:57:17,-8.11,-42.9444,73.09,63,38,6.38
165,Kasongo,CD,2022-06-21 03:57:18,-4.45,26.6667,67.53,81,66,0.85
166,Damghan,IR,2022-06-21 03:57:19,36.1683,54.348,73.08,33,0,2.44
167,Chicama,PE,2022-06-21 03:57:19,-7.8447,-79.1469,57.74,85,35,6.24
168,Ilinge,ZA,2022-06-21 03:57:20,-31.9768,27.0427,40.98,94,12,2.57
169,Nara,JP,2022-06-21 03:57:20,34.6851,135.8049,76.37,80,100,3.4
170,Mana,GF,2022-06-21 03:57:21,5.6592,-53.7767,76.17,88,82,5.59
171,Saint-Georges,GD,2022-06-21 03:57:21,12.0564,-61.7485,80.28,83,40,11.5
172,Nagykoros,HU,2022-06-21 03:57:22,47.0342,19.7786,73.06,64,0,16.11
173,Marrakesh,MA,2022-06-21 03:54:02,31.6315,-8.0083,69.87,64,20,5.75
174,Saint George,US,2022-06-21 03:57:22,37.1041,-113.5841,72.18,11,0,4.03
175,Itarema,BR,2022-06-21 03:57:23,-2.9248,-39.9167,75.51,81,73,11.74
176,Foeni,RO,2022-06-21 03:57:23,47.7,22.3833,69.94,65,60,9.22
177,Eyl,SO,2022-06-21 03:57:24,7.9803,49.8164,80.94,60,24,30.67
178,Havoysund,NO,2022-06-21 03:57:24,70.9963,24.6622,53.83,67,100,17.36
179,Togur,RU,2022-06-21 03:57:25,58.3631,82.8265,73.92,55,7,6.46
180,Margate,GB,2022-06-21 03:57:25,51.3813,1.3862,53.69,91,39,1.01
181,Vila Velha,BR,2022-06-21 03:53:52,-20.3297,-40.2925,67.95,88,75,4.61
182,Yambio,SS,2022-06-21 03:57:26,4.5721,28.3955,64.06,98,87,3.31
183,Arlit,NE,2022-06-21 03:57:27,18.7369,7.3853,88.66,16,2,2.73
184,Crotone,IT,2022-06-21 03:57:27,39.0851,17.1178,73.18,56,0,1.74
185,Sassandra,CI,2022-06-21 03:58:28,4.95,-6.0833,73.76,94,100,3.33
186,Abyek,IR,2022-06-21 03:58:28,36.0667,50.55,71.26,28,1,12.88
187,Sao Filipe,CV,2022-06-21 03:58:28,14.8961,-24.4956,73.89,93,42,4.74
188,La Macarena,CO,2022-06-21 03:58:29,2.1837,-73.7849,69.69,100,99,2.37
189,Ndele,CF,2022-06-21 03:58:30,8.4109,20.6473,66.9,98,99,5.06
190,Chapais,CA,2022-06-21 03:58:30,49.7834,-74.8492,62.38,52,100,6.67
191,Iralaya,HN,2022-06-21 03:58:31,15.0,-83.2333,79.79,84,100,15.19
192,Hambantota,LK,2022-06-21 03:58:31,6.1241,81.1185,84.54,79,20,11.5
193,Bibiani,GH,2022-06-21 03:58:32,6.4635,-2.3194,69.8,100,71,1.74
194,Ilulissat,GL,2022-06-21 03:58:32,69.2167,-51.1,31.32,92,100,7.4
195,Dhali,IN,2022-06-21 03:58:33,10.5,77.1667,83.28,56,99,9.91
196,Mafinga,TZ,2022-06-21 03:58:33,-7.25,35.0667,55.11,70,9,4.09
197,Delta Del Tigre,UY,2022-06-21 03:58:34,-34.7633,-56.3853,48.88,69,100,7.76
198,Camocim,BR,2022-06-21 03:58:34,-2.9022,-40.8411,74.66,85,59,9.24
199,Sedan,FR,2022-06-21 03:58:35,49.6667,5.0,54.72,76,98,5.82
200,La Rioja,ES,2022-06-21 03:58:35,42.25,-2.5,55.18,76,76,4.88
201,Conneaut,US,2022-06-21 03:58:36,41.9476,-80.5542,68.41,75,93,11.81
202,Coquimbo,CL,2022-06-21 03:57:58,-29.9533,-71.3436,51.53,76,100,2.3
203,Carutapera,BR,2022-06-21 03:58:36,-1.195,-46.02,73.18,94,19,3.62
204,Michigan City,US,2022-06-21 03:56:04,41.7075,-86.895,76.87,53,0,4.61
205,Biltine,TD,2022-06-21 03:58:37,14.5333,20.9167,83.26,43,62,12.68
206,Beloha,MG,2022-06-21 03:58:38,-25.1667,45.05,65.48,61,57,8.95
207,Moose Factory,CA,2022-06-21 03:58:38,51.2585,-80.6094,62.6,94,100,4.61
208,Monte Alegre,BR,2022-06-21 03:58:39,-2.0078,-54.0692,72.37,95,56,3.09
209,Chimbote,PE,2022-06-21 03:58:39,-9.0853,-78.5783,61.63,89,23,9.93
210,Mandal,IN,2022-06-21 03:58:40,25.45,74.5667,86.67,58,7,8.52
211,Qasigiannguit,GL,2022-06-21 03:58:40,68.8193,-51.1922,33.13,88,100,8.97
212,Sabha,LY,2022-06-21 03:58:41,27.0377,14.4283,81.48,18,0,3.69
213,Ust-Kulom,RU,2022-06-21 03:58:41,61.6864,53.6902,58.05,89,100,9.1
214,Sagua La Grande,CU,2022-06-21 03:58:42,22.8067,-80.0756,77.59,83,95,6.2
215,Mitha Tiwana,PK,2022-06-21 03:58:42,32.2486,72.1108,82.8,51,99,8.99
216,Raisinghnagar,IN,2022-06-21 03:58:43,29.5358,73.4492,87.3,43,77,8.66
217,Witu,KE,2022-06-21 03:58:43,-2.3889,40.4382,76.6,74,7,11.36
218,Horadiz,AZ,2022-06-21 03:58:44,39.4488,47.3353,68.77,59,0,5.88
219,Morondava,MG,2022-06-21 03:58:44,-20.2833,44.2833,65.82,67,0,7.38
